Size,Median,Mean,STD
128,5703.405,5151.147,1770.071
256,5741.787,5182.769,1796.571
512,5729.338,5172.200,1782.348
1024,5648.800,5090.454,1756.651
2048,5727.131,5148.991,1778.725
4096,5666.314,5034.393,1741.271
8192,5550.604,4990.736,1732.109
16384,5553.794,5003.533,1732.836
32768,5561.184,4992.620,1723.269
65536,5332.662,4821.176,1668.754
131072,6785.675,6264.994,2266.013
262144,6999.570,6396.760,2281.143
524288,7281.477,6637.454,2357.694
1048576,7530.510,6755.286,2401.690
2097152,7675.482,6976.190,2489.030
4194304,7941.460,7203.120,2598.835
8388608,8421.916,7670.916,2667.790
16777216,10300.810,9300.207,3133.798
33554432,17370.324,15790.576,5242.134
67108864,33696.788,30531.318,10059.665
134217728,67295.068,60628.856,19902.771
268435456,134517.174,121245.434,39765.873
536870912,268867.646,242386.005,79466.473
128,5648.280,5084.401,1758.893
256,5675.764,5132.073,1769.959
512,5694.891,5146.943,1772.761
1024,5717.757,5144.234,1774.463
2048,5693.998,5143.690,1781.657
4096,5609.863,5050.902,1744.225
8192,5521.408,4999.559,1730.907
16384,5536.574,5035.423,1741.952
32768,5529.314,5005.853,1730.259
65536,5381.036,4875.876,1690.741
131072,6953.446,6466.986,2332.281
262144,7262.989,6633.529,2364.088
524288,6994.097,6490.482,2354.511
1048576,7425.976,6834.383,2436.043
2097152,7303.400,6708.601,2418.678
4194304,7810.637,7118.065,2490.107
8388608,8570.696,7757.873,2677.244
16777216,10499.118,9494.738,3202.687
33554432,17390.651,15876.304,5279.629
67108864,33683.757,30456.458,10038.747
134217728,67300.420,60665.445,19912.924
268435456,134520.166,121266.156,39772.554
536870912,268823.507,242359.617,79452.852
128,5647.695,5101.057,1761.181
256,5702.307,5123.847,1774.881
512,5672.478,5145.597,1781.299
1024,5603.815,5034.080,1739.082
2048,5677.126,5144.677,1773.564
4096,5471.331,4934.554,1706.202
8192,5557.942,4984.297,1726.411
16384,5548.505,4994.385,1731.836
32768,5513.104,4983.821,1721.982
65536,5382.958,4848.130,1679.785
131072,6979.365,6372.845,2276.034
262144,7123.672,6505.532,2403.193
524288,7280.183,6548.543,2378.263
1048576,7721.574,6869.165,2439.938
2097152,7562.722,6865.822,2429.046
4194304,8053.128,7243.017,2543.802
8388608,8338.489,7606.818,2658.032
16777216,10637.639,9554.718,3217.615
33554432,17353.484,15930.377,5312.607
67108864,33677.621,30652.626,10119.012
134217728,67295.850,60628.952,19903.249
268435456,134494.498,121257.313,39772.546
536870912,268840.120,242375.332,79465.642
