Size,Median,Mean,STD
128,164.382,141.003,78.913
256,163.120,138.831,78.721
512,167.963,142.549,79.962
1024,166.330,142.541,79.868
2048,168.210,144.357,80.578
4096,198.712,170.642,88.944
8192,201.076,173.072,89.655
16384,209.664,180.455,92.070
32768,217.240,187.320,94.330
65536,224.516,193.914,96.496
131072,250.684,217.483,103.142
262144,258.756,226.569,106.317
524288,337.354,296.006,128.756
1048576,540.470,478.639,188.652
2097152,1141.748,1028.614,378.653
4194304,2189.179,1963.996,675.907
8388608,4283.416,3849.859,1294.060
16777216,8483.904,7637.373,2535.670
33554432,16892.498,15172.374,5029.849
67108864,33698.246,30311.513,9970.866
134217728,67307.418,60614.628,19899.401
268435456,134503.393,121203.307,39754.427
536870912,268863.445,242345.392,79455.437
128,170.531,145.611,80.571
256,172.404,147.250,81.502
512,173.134,146.755,81.591
1024,171.633,146.100,81.119
2048,175.833,150.124,82.348
4096,198.887,172.583,89.709
8192,205.572,178.614,91.686
16384,210.763,182.984,93.395
32768,221.014,190.740,95.548
65536,227.262,196.564,97.419
131072,251.404,219.790,104.169
262144,260.353,225.088,105.922
524288,341.105,298.532,129.672
1048576,535.300,474.554,187.321
2097152,1136.605,1016.280,365.421
4194304,2190.077,1964.141,675.775
8388608,4286.077,3853.854,1295.253
16777216,8483.140,7639.539,2536.034
33554432,16891.181,15179.264,5018.535
67108864,33695.823,30318.979,9969.877
134217728,67304.537,60637.419,19905.458
268435456,134505.859,121144.337,39735.720
536870912,268862.520,242367.042,79457.375
128,168.147,145.116,81.597
256,167.628,142.538,79.708
512,166.384,141.074,79.341
1024,165.413,141.069,79.303
2048,167.934,143.274,80.080
4096,201.560,172.314,89.355
8192,204.377,175.482,90.501
16384,211.940,183.083,93.135
32768,218.881,189.195,95.017
65536,226.675,196.129,97.191
131072,248.451,215.937,102.705
262144,258.733,225.822,106.202
524288,343.838,301.218,130.450
1048576,536.770,476.614,187.971
2097152,1140.863,1017.628,365.820
4194304,2191.511,1968.746,678.029
8388608,4287.902,3854.957,1295.496
16777216,8484.398,7636.740,2535.375
33554432,16894.590,15164.409,5020.358
67108864,33694.328,30332.350,9978.836
134217728,67303.245,60628.437,19902.168
268435456,134524.558,121161.495,39744.942
536870912,268845.053,242342.934,79450.593
