Size,Median,Mean,STD
128,53.276,73.949,272.325
256,53.353,40.163,40.702
512,53.828,40.684,40.913
1024,54.289,40.806,40.909
2048,55.236,41.650,41.183
4096,57.587,44.121,40.741
8192,60.460,46.797,42.249
16384,64.975,50.766,43.643
32768,76.301,61.378,45.921
65536,89.296,73.068,49.961
131072,111.438,93.499,56.061
262144,161.800,140.685,70.720
524288,258.866,228.288,97.095
1048576,449.807,401.680,149.204
2097152,832.240,759.876,264.141
4194304,1597.494,1456.754,463.382
8388608,3134.451,2863.292,886.219
16777216,6215.944,5662.407,1722.094
33554432,12392.442,11424.155,3626.048
67108864,24637.491,22425.737,6760.094
134217728,49128.757,44866.299,13542.753
268435456,98528.921,89584.147,26866.255
536870912,197188.300,179205.465,53758.423
128,52.516,49.329,64.889
256,53.047,39.696,40.553
512,53.221,40.471,40.950
1024,54.040,40.780,40.935
2048,54.793,41.215,41.043
4096,57.073,49.944,73.068
8192,60.805,46.986,42.346
16384,64.773,51.213,44.014
32768,75.420,60.433,45.368
65536,89.032,72.505,49.816
131072,111.729,95.628,58.563
262144,161.143,138.300,69.732
524288,259.186,227.988,96.992
1048576,448.667,400.897,149.175
2097152,829.806,747.209,253.748
4194304,1595.234,1453.359,462.195
8388608,3120.099,2861.094,886.960
16777216,6175.543,5636.731,1712.516
33554432,12336.898,11746.795,4567.442
67108864,24531.053,22520.695,6804.929
134217728,49445.194,44947.300,13510.752
268435456,98670.492,89939.760,27017.893
536870912,196816.225,179118.860,53742.825
128,53.278,72.032,310.705
256,53.626,40.300,40.765
512,53.983,41.183,41.242
1024,54.331,50.574,106.039
2048,55.411,43.744,43.978
4096,57.919,44.657,40.823
8192,61.042,47.587,42.574
16384,64.886,51.188,43.975
32768,76.127,61.781,46.212
65536,89.932,73.791,50.239
131072,111.883,94.111,56.369
262144,161.937,140.377,70.752
524288,259.460,228.107,96.847
1048576,453.117,406.104,151.043
2097152,834.996,755.821,257.013
4194304,1598.370,1469.727,469.929
8388608,3140.262,2857.646,883.863
16777216,6188.319,5663.787,1723.444
33554432,12439.333,11687.368,3853.480
67108864,24678.700,22494.086,6783.459
134217728,49101.604,44753.343,13453.657
268435456,98263.154,89566.944,26893.688
536870912,196974.434,179423.569,53889.116
128,53.391,47.973,63.991
256,54.676,42.557,42.697
512,55.094,41.561,41.130
1024,55.451,43.262,43.943
2048,56.066,42.877,41.831
4096,58.844,45.581,41.116
8192,61.753,47.840,42.603
16384,64.745,50.666,43.604
32768,75.199,60.424,45.692
65536,88.636,72.387,49.534
131072,111.581,94.433,56.728
262144,162.154,140.137,70.590
524288,259.346,227.834,96.939
1048576,452.773,408.040,152.022
2097152,835.174,756.996,257.342
4194304,1594.697,1448.081,459.902
8388608,3131.940,2857.614,884.446
16777216,6221.250,5667.967,1725.478
33554432,12372.829,12096.373,4564.896
67108864,24688.335,22564.817,6824.450
134217728,49248.726,44912.489,13501.707
268435456,98574.631,89651.299,26924.280
536870912,196766.186,179124.196,53730.333
128,54.664,65.377,231.502
256,55.714,42.188,41.331
512,56.282,43.593,41.960
1024,56.454,43.003,41.618
2048,57.259,43.561,41.782
4096,59.708,46.982,41.899
8192,62.379,48.285,42.740
16384,66.931,52.430,44.093
32768,77.284,62.576,46.388
65536,90.201,74.050,50.273
131072,113.810,95.521,56.840
262144,163.839,142.066,71.146
524288,260.759,228.673,97.074
1048576,450.743,404.896,151.525
2097152,835.612,754.375,256.351
4194304,1605.096,1457.415,462.941
8388608,3122.084,2852.254,882.666
16777216,6173.753,5648.909,1716.751
33554432,12333.835,11310.108,3465.034
67108864,24694.095,22487.519,6739.053
134217728,49336.348,44926.051,13506.055
268435456,98594.967,89801.992,26918.370
536870912,196794.763,179101.286,53744.311
