Size,Time
128,194.462
256,104.056
512,88.627
1024,93.635
2048,95.182
4096,100.379
8192,112.664
16384,101.357
32768,114.145
65536,110.682
131072,108.301
262144,135.738
524288,119.045
1048576,123.786
2097152,127.936
4194304,132.019
8388608,123.867
16777216,179.764
33554432,127.998
67108864,149.854
134217728,150.067
268435456,155.195
536870912,159.830
128,192.434
256,108.456
512,95.379
1024,93.559
2048,95.579
4096,95.581
8192,94.063
16384,100.961
32768,102.102
65536,100.524
131072,108.673
262144,120.793
524288,119.044
1048576,117.046
2097152,120.649
4194304,123.109
8388608,127.342
16777216,174.304
33554432,142.808
67108864,141.122
134217728,155.268
268435456,161.051
536870912,175.074
128,188.329
256,102.503
512,180.216
1024,88.262
2048,97.918
4096,99.071
8192,98.363
16384,99.753
32768,102.961
65536,101.711
131072,107.043
262144,113.207
524288,117.205
1048576,112.830
2097152,117.248
4194304,125.916
8388608,125.016
16777216,169.645
33554432,128.183
67108864,127.866
134217728,156.266
268435456,162.284
536870912,163.645
128,191.521
256,103.183
512,89.900
1024,98.859
2048,102.492
4096,96.466
8192,101.327
16384,102.591
32768,103.671
65536,104.739
131072,107.898
262144,121.592
524288,112.614
1048576,128.340
2097152,121.824
4194304,109.154
8388608,122.539
16777216,166.843
33554432,146.290
67108864,135.188
134217728,161.359
268435456,172.434
536870912,178.662
128,187.825
256,101.963
512,100.490
1024,89.044
2048,133.187
4096,101.010
8192,94.559
16384,100.898
32768,100.194
65536,101.308
131072,109.052
262144,116.972
524288,125.470
1048576,116.590
2097152,117.665
4194304,118.386
8388608,124.756
16777216,157.667
33554432,135.750
67108864,207.276
134217728,187.237
268435456,157.055
536870912,161.869
