Size,Time
128,237.785
256,110.640
512,143.369
1024,108.042
2048,110.386
4096,113.514
8192,128.162
16384,118.155
32768,148.930
65536,128.488
131072,121.582
262144,125.810
524288,161.855
1048576,139.342
2097152,151.835
4194304,145.627
8388608,123.289
16777216,151.731
33554432,130.010
67108864,169.063
134217728,152.778
268435456,199.716
536870912,175.400
128,180.873
256,112.239
512,153.641
1024,110.012
2048,124.416
4096,113.476
8192,114.978
16384,114.736
32768,151.771
65536,106.692
131072,116.035
262144,134.324
524288,139.908
1048576,138.963
2097152,155.150
4194304,140.079
8388608,123.684
16777216,124.767
33554432,139.695
67108864,145.474
134217728,159.746
268435456,166.452
536870912,165.620
128,181.502
256,125.764
512,158.255
1024,128.523
2048,133.354
4096,111.971
8192,146.774
16384,114.214
32768,147.488
65536,133.025
131072,121.243
262144,153.776
524288,143.053
1048576,122.433
2097152,122.359
4194304,123.128
8388608,146.062
16777216,123.847
33554432,146.214
67108864,161.603
134217728,156.583
268435456,150.632
536870912,180.846
128,189.541
256,111.026
512,149.712
1024,115.457
2048,110.859
4096,109.348
8192,109.715
16384,117.640
32768,149.232
65536,139.679
131072,116.388
262144,298.390
524288,149.388
1048576,141.795
2097152,118.322
4194304,154.394
8388608,127.937
16777216,130.441
33554432,143.457
67108864,164.997
134217728,150.977
268435456,158.750
536870912,176.805
128,190.130
256,108.070
512,150.552
1024,106.457
2048,110.783
4096,115.376
8192,141.876
16384,120.098
32768,138.033
65536,129.164
131072,109.981
262144,163.742
524288,119.823
1048576,125.197
2097152,152.138
4194304,110.262
8388608,129.899
16777216,164.969
33554432,147.688
67108864,135.849
134217728,165.206
268435456,161.977
536870912,169.087
