Size,Time
128,769.836
256,1.952
512,1.721
1024,1.629
2048,14.222
4096,1.476
8192,1.635
16384,1.508
32768,3.919
65536,3.474
131072,1.712
262144,1.798
524288,2.175
1048576,2.427
2097152,2.879
4194304,2.388
8388608,1.865
16777216,2.301
33554432,4.927
67108864,4.263
134217728,5.413
268435456,4.592
536870912,4.777
