Size,Time
128,946.827
256,2.476
512,2.272
1024,1.712
2048,13.789
4096,1.829
8192,1.726
16384,1.787
32768,1.869
65536,1.970
131072,4.743
262144,2.914
524288,2.419
1048576,2.283
2097152,2.923
4194304,3.001
8388608,2.678
16777216,2.500
33554432,3.672
67108864,3.836
134217728,4.258
268435456,4.729
536870912,4.264
